Release Group,Gross,Maxtheater,Openning,Percent of total,Openning theater,Date,Year
Beast,121274,240.0,74570.0,61.5,204.0,Aug 19,2022
Ambulance,119838,1256.0,62668.0,52.3,1256.0,Mar 18,2022
Moonbound,118738,501.0,33443.0,28.2,501.0,May 31,2022
PAW Patrol: The Movie,115147,418.0,56362.0,48.9,418.0,Feb 1,2022
Evil Eye,107761,1306.0,58762.0,54.5,1306.0,Nov 3,2022
Belle,106371,1049.0,95887.0,90.1,1049.0,Feb 25,2022
Cracked,102231,1060.0,48698.0,47.6,1060.0,Mar 25,2022
Two Buddies and a Badger: The Great Big Beast,101255,466.0,29951.0,29.6,370.0,Feb 25,2022
Play with Me,100018,791.0,48698.0,48.7,791.0,Mar 25,2022
The Little Penguin Pororo's Dinosaur Island Adventure,99329,703.0,48495.0,48.8,703.0,Jul 15,2022
Shark Bait,98439,1008.0,52822.0,53.7,1008.0,May 20,2022
Fast & Feel Love,96437,986.0,50639.0,52.5,986.0,Apr 29,2022
Family Swap,92667,568.0,51939.0,56.0,568.0,Feb 25,2022
Trinh Cong Son,89820,1205.0,48167.0,53.6,1205.0,Jun 10,2022
The Lord of the Rings: The Fellowship of the Ring2022 Re-release,87294,543.0,52222.0,59.8,543.0,Sep 30,2022
The Anchor,84415,598.0,38310.0,45.4,598.0,May 20,2022
Ticket to Paradise,83128,828.0,48421.0,58.2,828.0,Oct 14,2022
The Other Child,80875,678.0,42583.0,52.7,678.0,Nov 18,2022
Jeepers Creepers: Reborn,78676,991.0,50543.0,64.2,991.0,Sep 23,2022
Sword Art Online: Progressive - Aria of a Starless Night,77011,659.0,45832.0,59.5,659.0,Feb 25,2022
Midnight,68427,634.0,27265.0,39.8,634.0,Apr 15,2022
Pee Nak 3,67940,3348.0,295616.0,435.1,3348.0,Apr 15,2022
The Advent Calendar,67877,661.0,27574.0,40.6,661.0,Apr 22,2022
The Woman King,66523,1061.0,40906.0,61.5,1061.0,Oct 14,2022
OMG! Oh My Girl,63757,648.0,30837.0,48.4,648.0,Dec 30,2022
Harry Potter and the Goblet of Fire2021 Re-release,63583,691.0,40270.0,63.3,691.0,Nov 4,2022
Tazza 2: The Hidden Card,61756,583.0,26191.0,42.4,583.0,Jan 21,2022
Hansan: Rising Dragon,60526,664.0,25666.0,42.4,664.0,Aug 26,2022
Fearless Love,59794,594.0,24714.0,41.3,594.0,Nov 18,2022
Nguoi Tình,59357,585.0,20556.0,34.6,585.0,Feb 18,2022
Ghostbusters: Afterlife,57239,634.0,35030.0,61.2,634.0,Jan 7,2022
Hunt,54326,716.0,27879.0,51.3,716.0,Nov 25,2022
"Karem, la posesión",53885,985.0,53885.0,100.0,985.0,Jul 15,2022
Virus-32,51649,384.0,19788.0,38.3,384.0,Jul 8,2022
Gulliver Returns,50334,654.0,34886.0,69.3,654.0,Oct 28,2022
Jaifu Story,50163,841.0,33630.0,67.0,841.0,Oct 7,2022
The Cellar,50134,310.0,25236.0,50.3,310.0,May 27,2022
Muu Ke Thuong Luu,49344,385.0,24240.0,49.1,385.0,Feb 4,2022
The Quintessential Quintuplets Movie,46347,502.0,34517.0,74.5,502.0,Oct 7,2022
Firestarter,46280,1001.0,40952.0,88.5,1001.0,May 13,2022
Marry Me,45673,285.0,22096.0,48.4,285.0,Feb 11,2022
NCT Dream The Movie: In A DREAM,43782,359.0,16348.0,37.3,359.0,Dec 2,2022
The Lord of the Rings: The Two Towers2021 Re-release,43074,333.0,30551.0,70.9,333.0,Oct 14,2022
Faces of Anne,42912,707.0,23002.0,53.6,707.0,Nov 25,2022
The Night,42670,638.0,54771.0,128.4,638.0,Mar 11,2022
Limit,40656,108.0,2867.0,7.1,108.0,Sep 16,2022
Ke Thu Ba,40316,578.0,19436.0,48.2,578.0,May 13,2022
The Unbearable Weight of Massive Talent,40307,382.0,17634.0,43.7,382.0,Apr 22,2022
Blacklight,39304,544.0,57155.0,145.4,544.0,Mar 11,2022
The Ledge,39240,484.0,15236.0,38.8,484.0,Jun 3,2022
Qua Ben Lam Chi,39207,829.0,24997.0,63.8,829.0,Apr 8,2022
Harry Potter and the Order of the Phoenix2022 Re-release,34047,263.0,16715.0,49.1,263.0,Nov 18,2022
Confession,34004,712.0,19311.0,56.8,712.0,Dec 8,2022
The Free Fall,33311,443.0,19066.0,57.2,443.0,Apr 8,2022
Special Delivery,32595,384.0,41255.0,126.6,384.0,Mar 11,2022
Amsterdam,31866,573.0,19240.0,60.4,573.0,Oct 7,2022
Teluh,30332,479.0,17662.0,58.2,479.0,Nov 4,2022
Honest Candidate 2,30331,635.0,21358.0,70.4,635.0,Nov 4,2022
Don't Worry Darling,30177,557.0,19017.0,63.0,557.0,Oct 7,2022
Elvis,30077,251.0,12253.0,40.7,251.0,Jun 24,2022
WarHunt,29494,542.0,17505.0,59.4,542.0,May 13,2022
Escape from Mogadishu,27326,377.0,15000.0,54.9,377.0,Jul 15,2022
Possessed,26440,437.0,8653.0,32.7,437.0,Dec 8,2022
Run Hide Fight,25383,233.0,9148.0,36.0,233.0,Apr 22,2022
Tro Choi Tu Than,24991,398.0,14357.0,57.4,398.0,Sep 23,2022
Nightmare Alley,23825,271.0,10335.0,43.4,271.0,Mar 18,2022
Evangelion: 3.0+1.01 Thrice Upon a Time,22749,300.0,15192.0,66.8,300.0,Sep 30,2022
Fall,22101,494.0,11639.0,52.7,494.0,Aug 19,2022
Harry Potter and the Half-Blood Prince2022  Re-release,21661,288.0,9760.0,45.1,288.0,Dec 2,2022
The Naked Truth,18386,5111.0,559934.0,3045.4,2459.0,Feb 10,2022
The One Hundred,18261,414.0,10848.0,59.4,414.0,Dec 2,2022
Shin Ultraman,17000,318.0,11184.0,65.8,318.0,Sep 30,2022
Nix,16476,279.0,9134.0,55.4,279.0,Oct 7,2022
Sadako DX,15716,503.0,11130.0,70.8,503.0,Dec 2,2022
Gaia,15649,273.0,2586.0,16.5,22.0,Apr 1,2022
The Beast Below,15391,205.0,7910.0,51.4,205.0,Sep 23,2022
Come Back Home,15227,30.0,9367.0,61.5,985.5,Dec 2,2022
Gekijouban Free! the Final Stroke - Part 1,14603,58.0,7631.0,52.3,58.0,Mar 4,2022
They Crawl Beneath,12693,240.0,7854.0,61.9,240.0,Oct 14,2022
Memento Mori: Dat,10450,273.0,4713.0,45.1,273.0,Oct 7,2022
Life Is Beautiful,9943,290.0,5968.0,60.0,290.0,Oct 28,2022
Seventeen Power of Love,9436,415.0,9436.0,100.0,415.0,Apr 22,2022
Good Morning,9265,27.0,4765.0,51.4,27.0,May 27,2022
Gintama: The Final,8309,129.0,8309.0,100.0,129.0,Feb 11,2022
The House of No Man,19490980,11271.0,909234.0,4.7,3390.0,Jan 22,2023
Face Off 6: The Ticket of Destiny,11538081,10121.0,2810524.0,24.4,10121.0,Apr 25,2023
Aquaman,5319040,273.0,10186.0,0.2,273.0,Nov 17,2023
Hustler vs Scammer (Sieu Lua Gap Sieu Lay),5166455,7306.0,1013154.0,19.6,7306.0,Mar 2,2023
Chi Chi Em Em 2,5109674,3483.0,230757.0,4.5,1504.0,Jan 22,2023
Fast X,4809895,2742.0,1713589.0,35.6,214.0,May 19,2023
Quy Cau,4421932,4382.0,421509.0,9.5,2733.0,Dec 22,2023
Elemental,4006145,5102.0,131608.0,3.3,1204.0,Jun 17,2023
The Last Wife,3960671,5520.0,1100643.0,27.8,8.0,Nov 1,2023
Detective Conan: Black Iron Submarine,3901191,8755.0,625333.0,16.0,5093.0,Jul 15,2023
Aquaman and the Lost Kingdom,3557621,8669.0,1170989.0,32.9,8669.0,Dec 22,2023
Doraemon the Movie: Nobita's Sky Utopia,3499539,5734.0,335472.0,9.6,2300.0,May 19,2023
Con Nhot Mot Chong,3088496,5823.0,753234.0,24.4,5823.0,Apr 21,2023
Transformers: Rise of the Beasts,3023752,9359.0,1269019.0,42.0,9359.0,Jun 9,2023
The Soul Reaper,2723248,9815.0,1031641.0,37.9,9815.0,Dec 14,2023
Ant-Man and the Wasp: Quantumania,2643347,9055.0,980630.0,37.1,9055.0,Feb 15,2023
The Nun II,2570523,9800.0,1005335.0,39.1,9800.0,Sep 8,2023
Mission: Impossible - Dead Reckoning Part One,2518565,4563.0,622158.0,24.7,4563.0,Jul 8,2023
Guardians of the Galaxy Vol. 3,2272802,4028.0,638014.0,28.1,4028.0,May 3,2023
Death Whisperer,2241292,3591.0,269871.0,12.0,2198.0,Dec 27,2023
Love Reset,2030560,3125.0,383606.0,18.9,3047.0,Nov 10,2023
Bad Blood,1746869,6310.0,523247.0,30.0,6310.0,Aug 25,2023
Spider-Man: Across the Spider-Verse,1738697,3642.0,439199.0,25.3,3642.0,Jun 1,2023
Insidious: The Red Door,1670647,5207.0,508204.0,30.4,5207.0,Jul 12,2023
Migration,1669376,2526.0,344038.0,20.6,206.0,Dec 29,2023
Oppenheimer,1487520,205.0,431746.0,29.0,205.0,Aug 11,2023
Home for Rent,1392984,3853.0,300009.0,21.5,3853.0,Jun 21,2023
Marry My Dead Body,1330853,5337.0,432207.0,32.5,5337.0,Apr 7,2023
The Super Mario Bros. Movie,1304718,2959.0,425826.0,32.6,197.0,Apr 7,2023
The Marvels,1257400,6280.0,640856.0,51.0,6280.0,Nov 9,2023
The Flash,1146070,5726.0,567626.0,49.5,5726.0,Jun 16,2023
The Expendables 4,1142925,4743.0,398863.0,34.9,4743.0,Sep 22,2023
Shazam! Fury of the Gods,990886,5827.0,451475.0,45.6,5827.0,Mar 17,2023
Taylor Swift: The Eras Tour,961778,578.0,357544.0,37.2,1.0,Nov 3,2023
The Moon,959622,2638.0,267469.0,27.9,2638.0,Aug 10,2023
Tren Ban Nhau Duoi Ban Muu,951294,3979.0,325154.0,34.2,3979.0,Dec 29,2023
Black Rose,941566,3488.0,264457.0,28.1,3355.0,Nov 17,2023
Concrete Utopia,930326,3552.0,98847.0,10.6,1430.0,Aug 26,2023
The Pope's Exorcist,874991,3518.0,314507.0,35.9,3518.0,Apr 12,2023
Honey Sweet,789990,2635.0,199196.0,25.2,2635.0,Sep 15,2023
Soulmate,769640,3016.0,167597.0,21.8,2004.0,Mar 24,2023
The Roundup: No Way Out,665709,1901.0,204214.0,30.7,1901.0,May 31,2023
M3GAN,652765,199.0,255792.0,39.2,199.0,Jan 27,2023
Cats in the Museum,602722,1419.0,236174.0,39.2,1419.0,Apr 28,2023
Talk to Me,577702,3274.0,241569.0,41.8,3274.0,Aug 11,2023
The Childe,564557,1977.0,170359.0,30.2,1977.0,Jun 22,2023
The Little Mermaid,556801,2231.0,169266.0,30.4,2231.0,May 26,2023
Mummies,552872,626.0,61263.0,11.1,501.0,Jan 22,2023
PAW Patrol: The Mighty Movie,530121,2582.0,185309.0,35.0,2582.0,Sep 29,2023
Tri Am the Movie: Nguoi Giu Thoi Gian,524872,1148.0,74170.0,14.1,1148.0,Apr 6,2023
Wish,506917,2767.0,216988.0,42.8,2767.0,Nov 24,2023
Dungeons & Dragons: Honor Among Thieves,489282,3191.0,220817.0,45.1,3191.0,Apr 20,2023
Missing,481259,1329.0,125362.0,26.0,1329.0,Feb 23,2023
Past Lives,460684,1442.0,117763.0,25.6,1442.0,Sep 28,2023
The Exorcist: Believer,436818,3237.0,188625.0,43.2,3237.0,Oct 6,2023
Biet Doi Rat On,427714,4569.0,235240.0,55.0,4569.0,Mar 30,2023
Jungle Bunch: Operation Meltdown,406570,1764.0,223005.0,54.9,1764.0,Sep 1,2023
Consecration,403718,3377.0,256665.0,63.6,3377.0,Feb 24,2023
Kumarn,403462,2995.0,179493.0,44.5,2995.0,Oct 5,2023
Hoon Payon,350170,1659.0,144457.0,41.3,1659.0,Jun 2,2023
Bear Man,349276,1390.0,134592.0,38.5,1390.0,Apr 21,2023
Dr. Cheon and Lost Talisman,329817,2076.0,142758.0,43.3,2076.0,Oct 6,2023
Haunted Mansion,325043,2038.0,111032.0,34.2,2038.0,Jul 27,2023
Five Nights at Freddy's,322489,931.0,164563.0,51.0,209.0,Oct 26,2023
Epic Tails,320317,1362.0,71189.0,22.2,905.0,Feb 24,2023
The First Slam Dunk,318747,2133.0,124243.0,39.0,2133.0,Apr 14,2023
Trolls Band Together,307161,304.0,149625.0,48.7,204.0,Nov 17,2023
Tastes of Horror,300468,647.0,69988.0,23.3,647.0,Oct 26,2023
Brave Citizen,271316,1345.0,82263.0,30.3,1345.0,Nov 24,2023
Operation Fortune: Ruse de Guerre,266849,359.0,24637.0,9.2,298.0,Jan 22,2023
The Boogeyman,250647,1376.0,84073.0,33.5,1376.0,May 31,2023
The Ghost Station,231214,796.0,88777.0,38.4,796.0,Apr 28,2023
Blue Whale,225271,2318.0,80322.0,35.7,2318.0,Aug 3,2023
The Communion Girl,224305,1434.0,106239.0,47.4,1434.0,Mar 17,2023
Indiana Jones and the Dial of Destiny,219784,1855.0,106987.0,48.7,1855.0,Jun 29,2023
The Equalizer 3,200061,1532.0,94130.0,47.1,1532.0,Sep 1,2023
Midnight horror,199024,1955.0,88752.0,44.6,1955.0,Jan 6,2023
The Hunger Games: The Ballad of Songbirds & Snakes,194779,655.0,81056.0,41.6,335.0,Nov 17,2023
The Bridge Curse: Ritual,185176,1510.0,81251.0,43.9,1510.0,Nov 24,2023
Pororo: Dragon Castle Adventure,182821,385.0,20011.0,10.9,212.0,Jan 22,2023
Devils,179135,1269.0,74699.0,41.7,1269.0,Jul 28,2023
The White Storm 3: Heaven or Hell,174778,1660.0,91339.0,52.3,1660.0,Aug 4,2023
Fireheart,170983,718.0,15603.0,9.1,299.0,May 3,2023
Zombie Ferry Station,166340,1747.0,111373.0,67.0,1747.0,Sep 1,2023
Pulau,153397,1485.0,74869.0,48.8,1485.0,Mar 31,2023
Ruby Gillman: Teenage Kraken,152545,377.0,78107.0,51.2,190.0,Jun 30,2023
La Exorcista,147558,1354.0,74398.0,50.4,1354.0,Jun 30,2023
Crayon Shin-chan: Mononoke Ninja Chinpuden,136115,901.0,52387.0,38.5,901.0,Jan 6,2023
Big Trip 2: Special Delivery,135118,671.0,6694.0,5.0,78.0,Feb 24,2023
That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond,134842,1044.0,77045.0,57.1,1044.0,Feb 24,2023
How to Save the Immortal,131859,958.0,65234.0,49.5,958.0,Mar 24,2023
Khi Ta Hai Lam,128599,1446.0,49820.0,38.7,1446.0,Mar 3,2023
Single in Seoul,114728,806.0,49718.0,43.3,806.0,Dec 15,2023
Inhuman Kiss: The Last Breath,108451,645.0,59164.0,54.6,645.0,Apr 28,2023
No Hard Feelings,107833,632.0,33896.0,31.4,632.0,Jun 22,2023
Little Bird: The Big Quest,102580,653.0,29583.0,28.8,578.0,Dec 15,2023
My Fairy Troublemaker,102225,747.0,47527.0,46.5,747.0,Feb 19,2023
Children of the Mist,98452,280.0,7787.0,7.9,114.0,Mar 17,2023
Touch Happiness,97855,627.0,45765.0,46.8,627.0,Sep 1,2023
Giao Lo 8675,96843,1144.0,45020.0,46.5,1144.0,Oct 3,2023
Ransomed,95820,545.0,37748.0,39.4,545.0,Sep 1,2023
Rally Road Racers,94300,473.0,19881.0,21.1,343.0,Jul 7,2023
The Black Demon,94264,985.0,59198.0,62.8,985.0,May 12,2023
Men of Plastic,88898,843.0,41433.0,46.6,843.0,Jan 6,2023
Target,87250,800.0,32207.0,36.9,800.0,Sep 15,2023
Hello Jadoo: The Secret of Jeju Island,83932,694.0,43221.0,51.5,694.0,Dec 15,2023
Live: Phat Truc Tiep,82654,1253.0,48305.0,58.4,1253.0,Sep 22,2023
Hostage: Missing Celebrity,80161,350.0,9561.0,11.9,143.0,Feb 24,2023
Little Eggs: An African Rescue,79996,615.0,44479.0,55.6,615.0,Jun 9,2023
Ditto,76283,611.0,25533.0,33.5,611.0,Feb 10,2023
Mavka: The Forest Song,75976,561.0,36923.0,48.6,561.0,Jun 16,2023
The Inseparables,75553,724.0,47680.0,63.1,724.0,Sep 1,2023
Renfield,73625,1187.0,51374.0,69.8,1187.0,Apr 14,2023
Fanti,72899,1398.0,45331.0,62.2,1398.0,Jul 28,2023
Napoleon,70512,488.0,31732.0,45.0,488.0,Dec 1,2023
Scarygirl,67926,570.0,15436.0,22.7,281.0,Dec 29,2023
Sisu,61140,184.0,32031.0,52.4,184.0,May 12,2023
Streamer,60726,711.0,4563.0,7.5,153.0,Jul 28,2023
Inside the Yellow Cocoon Shell,59762,439.0,21857.0,36.6,439.0,Aug 11,2023
Knock at the Cabin,59067,180.0,37048.0,62.7,180.0,Feb 3,2023
Not Friends,56028,901.0,23448.0,41.9,901.0,Dec 1,2023
Desire Grand Prix,55418,1047.0,41923.0,75.6,1047.0,Mar 3,2023
The Undertaker,51702,699.0,32988.0,63.8,699.0,Dec 15,2023
SUGA: Road to D-DAY,50657,670.0,50657.0,100.0,670.0,Jun 16,2023
Khanzab,50269,607.0,28561.0,56.8,607.0,May 26,2023
Hypnotic,49002,555.0,25958.0,53.0,555.0,May 12,2023
Godless: The Eastfield Exorcism,47724,756.0,33347.0,69.9,756.0,Sep 29,2023
Immersion,46862,804.0,28583.0,61.0,804.0,Sep 22,2023
Miss Fortune,45063,760.0,30006.0,66.6,760.0,Nov 3,2023
Deep Fear,43949,670.0,22729.0,51.7,670.0,Aug 25,2023
Dear David,43725,475.0,18981.0,43.4,475.0,Nov 10,2023
Retribution,43711,839.0,28419.0,65.0,839.0,Sep 15,2023
Creed III,41883,382.0,21108.0,50.4,382.0,Mar 24,2023
Tid Noy,41705,533.0,22372.0,53.6,533.0,May 5,2023
The Ghost Within,40221,549.0,24146.0,60.0,549.0,Apr 14,2023
Cobweb,40220,523.0,18207.0,45.3,523.0,Oct 13,2023
The Accursed,39114,261.0,21710.0,55.5,261.0,May 12,2023
j-hope IN THE BOX,36895,598.0,36895.0,100.0,598.0,Jun 16,2023
Batman Begins2023 Re-release,35962,421.0,17952.0,49.9,421.0,Sep 27,2023
Sound of Silence,35933,507.0,13841.0,38.5,507.0,Apr 21,2023
Lonely Castle in the Mirror,35079,575.0,20250.0,57.7,575.0,Jun 30,2023
The Point Men,33927,319.0,15508.0,45.7,319.0,Feb 19,2023
Guy Ritchie's the Covenant,33704,293.0,10327.0,30.6,293.0,Apr 21,2023
Grave Lands,33123,509.0,19750.0,59.6,509.0,Nov 10,2023
Siam Curse,32510,940.0,32510.0,100.0,940.0,Dec 1,2023
Take Care of My Mom,31839,566.0,16710.0,52.5,566.0,Jan 6,2023
My Heart Puppy,30591,410.0,17088.0,55.9,410.0,Mar 17,2023
Acid,28371,497.0,20596.0,72.6,497.0,Sep 29,2023
Good Job,27649,1026.0,27649.0,100.0,1026.0,Dec 1,2023
Anatomy of a Fall,26072,127.0,8241.0,31.6,127.0,Nov 10,2023
My Precious,25874,908.0,25874.0,100.0,908.0,Aug 11,2023
The Lockdown Hauntings,25855,462.0,15333.0,59.3,462.0,Jan 6,2023
The Fabelmans,22041,13.0,9622.0,43.7,839.0,Feb 10,2023
IU Concert: The Golden Hour,21949,233.0,8979.0,40.9,233.0,Sep 28,2023
"The Tunnel to Summer, the Exit of Goodbyes",21012,442.0,21012.0,100.0,442.0,Dec 1,2023
Chebi: My Fluffy Friend,19683,206.0,8376.0,42.6,206.0,May 3,2023
The Creeping,17626,295.0,9512.0,54.0,295.0,May 26,2023
Love My Scent,17399,398.0,11293.0,64.9,398.0,Jul 7,2023
Assassin Club,17014,374.0,1093.0,6.4,71.0,Apr 14,2023
After Sundown,17003,296.0,5670.0,33.3,296.0,Sep 15,2023
Air,16555,205.0,7223.0,43.6,205.0,Apr 14,2023
Man Suang,15842,270.0,8177.0,51.6,270.0,Sep 29,2023
The Last 10 Years,15702,407.0,16589.0,105.6,407.0,Aug 4,2023
Space Pups,15671,278.0,9715.0,62.0,278.0,Jul 7,2023
Resident Evil: Death Island,15469,386.0,10580.0,68.4,386.0,Jul 7,2023
Qodrat,15404,409.0,9577.0,62.2,409.0,Feb 24,2023
Hopeless,14896,320.0,8228.0,55.2,320.0,Nov 17,2023
My Worst Neighbour,14861,371.0,8184.0,55.1,371.0,Jul 28,2023
Back Home,14805,1585.0,133559.0,902.1,1585.0,Oct 26,2023
Mount Chiak,14432,273.0,8860.0,61.4,273.0,Dec 15,2023
My Beautiful Man: Eternal,14049,438.0,11123.0,79.2,438.0,Apr 14,2023
You & Me & Me,12406,442.0,8695.0,70.1,442.0,Apr 7,2023
Mai,22184037,11129.0,2055973.0,9.3,6784.0,Feb 10,2024
Exhuma,6611268,11123.0,2643915.0,40.0,11123.0,Mar 13,2024
Kung Fu Panda 4,4684354,9718.0,2198296.0,46.9,9718.0,Mar 8,2024
Gap Lai Chi Bau,3749297,2628.0,364384.0,9.7,6.0,Feb 2,2024
Dune: Part Two,1535100,2865.0,388787.0,25.3,2865.0,Mar 1,2024
Spy x Family Code: White,1063386,878.0,147282.0,13.9,878.0,Feb 10,2024
The Beekeeper,799821,2456.0,205536.0,25.7,2456.0,Jan 12,2024
"Dao, Pho Va Piano",666334,571.0,36775.0,5.5,93.0,Feb 23,2024
Noah's Ark,656562,767.0,141211.0,21.5,767.0,Feb 10,2024
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,511679,2423.0,320017.0,62.5,2423.0,Feb 23,2024
Madame Web,419786,310.0,134470.0,32.0,1.0,Feb 14,2024
Baghead,401968,1754.0,200949.0,50.0,1754.0,Mar 1,2024
Dogs at the Opera,295244,886.0,163028.0,55.2,886.0,Feb 16,2024
Citizen of a Kind,279853,1134.0,104204.0,37.2,1134.0,Mar 1,2024
Argylle,264095,701.0,78220.0,29.6,701.0,Feb 10,2024
It Remains,242996,2352.0,113743.0,46.8,2352.0,Jan 18,2024
No Way Up,216884,797.0,78765.0,36.3,158.0,Jan 26,2024
Alienoid: The Return to the Future,192288,1760.0,93000.0,48.4,1760.0,Jan 10,2024
Dog Days,176084,612.0,65006.0,36.9,612.0,Feb 23,2024
Katak: The Brave Beluga,133921,902.0,16374.0,12.2,363.0,Jan 21,2024
Pororo Popstar Adventure,124184,543.0,65243.0,52.5,543.0,Feb 16,2024
Sana,111356,1210.0,62475.0,56.1,1210.0,Jan 10,2024
The Exorcists,97296,668.0,59812.0,61.5,668.0,Feb 23,2024
All Fun and Games,88797,1261.0,39431.0,44.4,1261.0,Jan 26,2024
Sang Den,83140,1041.0,28371.0,34.1,381.0,Feb 10,2024
Night Swim,81462,786.0,57761.0,70.9,786.0,Feb 23,2024
The Verge of Death,53155,731.0,29841.0,56.1,731.0,Jan 5,2024
The Bricklayer,51724,818.0,36824.0,71.2,818.0,Jan 5,2024
The Promised Land,47102,937.0,47102.0,100.0,937.0,Mar 22,2024
Marita,47089,406.0,35524.0,75.4,406.0,Mar 8,2024
Noryang: Deadly Sea,44174,439.0,13209.0,29.9,439.0,Jan 21,2024
The Taste of Things,38473,577.0,38473.0,100.0,577.0,Mar 22,2024
Ape vs. Mecha Ape,37591,682.0,26033.0,69.3,682.0,Jan 12,2024
Silent Love,25849,499.0,16760.0,64.8,499.0,Mar 8,2024
Dead Man,21735,594.0,21735.0,100.0,594.0,Mar 22,2024
Trà,16984,338.0,16984.0,100.0,338.0,Feb 10,2024
Tokyo MER,13517,231.0,4238.0,31.4,231.0,Jan 21,2024
Miller's Girl,12084,261.0,12084.0,100.0,261.0,Feb 16,2024
Rascal Does Not Dream of a Knapsack Kid,11559,223.0,8061.0,69.7,223.0,Mar 1,2024
Cellphone,11396,238.0,7193.0,63.1,238.0,Mar 1,2024
Slyth: The Hunt Saga,10039,170.0,4915.0,49.0,170.0,Mar 15,2024
Digimon Adventure 02: The Beginning,9130,165.0,4794.0,52.5,165.0,Jan 21,2024
Bob Marley: One Love,3894,65.0,2064.0,53.0,65.0,Mar 15,2024
City Hunter the Movie: Angel Dust,1088,94.0,1088.0,100.0,94.0,Mar 1,2024
